Non Glances,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome and Preparation,Contract/Prep,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,,,,,,,,,,,,,,,,,
Welcome Email,REALWIRED,,,,,,,,,,,,,,,,,,,,,,,,,
Logo and URL ,CLIENT,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome Call ,,JOINT,,,,,,,,,,,,,,,,,,,,,,,,
Review Forms & Vendor Letters Shared,,CLIENT,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Import,,,,,CLIENT,,,,,,,,,,,,,,,,,,,,,
User Import ,,,,,CLIENT,,,,,,,,,,,,,,,,,,,,,
Production Setup & Customization,,,,,,,,,,,,,,,,,,,,,,,,,,
Request Type Workbook ,,CLIENT,,,,,,,,,,,,,,,,,,,,,,,,
Property Categories/Types Workbook ,,CLIENT,,,,,,,,,,,,,,,,,,,,,,,,
Property Record Workbook ,,CLIENT,,,,,,,,,,,,,,,,,,,,,,,,
Request Record Workbook ,,,CLIENT,,,,,,,,,,,,,,,,,,,,,,,
Review Record Workbook ,,,CLIENT,,,,,,,,,,,,,,,,,,,,,,,
Workflow Timer Workbook ,,,CLIENT,,,,,,,,,,,,,,,,,,,,,,,
Document Types Names Shared,,,,CLIENT,,,,,,,,,,,,,,,,,,,,,,
Reject Reasons Workbook,,,,CLIENT,,,,,,,,,,,,,,,,,,,,,,
JM Routing Workbook,,,,CLIENT,,,,,,,,,,,,,,,,,,,,,,
General Settings and Bank Workbook  ,,,,CLIENT,,,,,,,,,,,,,,,,,,,,,,
Implementation & Rollout,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Configuration Review Call ,,,,,JOINT,,,,,,,,,,,,,,,,,,,,,
Vendor Letter & Review Form Review Call ,,,,,JOINT,,,,,,,,,,,,,,,,,,,,,
Job Manager Training Session 1,,,,,,JOINT,,,,,,,,,,,,,,,,,,,,
Job Manager Training Session 2 ,,,,,,JOINT,,,,,,,,,,,,,,,,,,,,
UAT Testing ,,,,,,,JOINT,JOINT,,,,,,,,,,,,,,,,,,
SSO and IP Restrictions ,,,,,,,,JOINT,,,,,,,,,,,,,,,,,,
Lender Training ,,,,,,,,JOINT,,,,,,,,,,,,,,,,,,
Support & Enablement,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge Base Resources ,,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,,,,,,,,,,,,,,,,,
Support,,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,,,,,,,,,,,,,,,,,
Readiness Assessment,,,,,,,,,JOINT,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Glances,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome and Preparation,Contract/Prep,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,,,,,,,,,,,,,,,,,
Welcome Email,REALWIRED,,,,,,,,,,,,,,,,,,,,,,,,,
Logo and URL ,YOU,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome Call ,,JOINT,,,,,,,,,,,,,,,,,,,,,,,,
Review Forms & Vendor Letters Shared,,YOU,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Import,,,,,YOU,,,,,,,,,,,,,,,,,,,,,
User Import ,,,,,YOU,,,,,,,,,,,,,,,,,,,,,
Production Setup & Customization,,,,,,,,,,,,,,,,,,,,,,,,,,
Request Type Workbook ,,YOU,,,,,,,,,,,,,,,,,,,,,,,,
Property Categories/Types Workbook ,,YOU,,,,,,,,,,,,,,,,,,,,,,,,
Property Record Workbook ,,YOU,,,,,,,,,,,,,,,,,,,,,,,,
Request Record Workbook ,,,YOU,,,,,,,,,,,,,,,,,,,,,,,
Review Record Workbook ,,,YOU,,,,,,,,,,,,,,,,,,,,,,,
Workflow Timer Workbook ,,,YOU,,,,,,,,,,,,,,,,,,,,,,,
Document Types Names Shared ,,,,YOU,,,,,,,,,,,,,,,,,,,,,,
Reject Reasons Workbook,,,,YOU,,,,,,,,,,,,,,,,,,,,,,
JM Routing Workbook ,,,,YOU,,,,,,,,,,,,,,,,,,,,,,
General Settings and Bank Workbook  ,,,,YOU,,,,,,,,,,,,,,,,,,,,,,
Implementation & Rollout,,,,,,,,,,,,,,,,,,,,,,,,,,
SSO and IP Restrictions ,,JOINT,,,,,,,,,,,,,,,,,,,,,,,,
Basic Configuration Review Call ,,,,,JOINT,,,,,,,,,,,,,,,,,,,,,
Vendor Letter & Review Form Review Call ,,,,,JOINT,,,,,,,,,,,,,,,,,,,,,
Document Review ,,,,,YOU,,,,,,,,,,,,,,,,,,,,,
Job Manager Training Session 1,,,,,,JOINT,,,,,,,,,,,,,,,,,,,,
Job Manager Training Session 2 ,,,,,,JOINT,,,,,,,,,,,,,,,,,,,,
UAT Testing ,,,,,,,JOINT,JOINT,,,,,,,,,,,,,,,,,,
Lender Training ,,,,,,,,JOINT,,,,,,,,,,,,,,,,,,
Support & Enablement,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge Base Resources ,,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,,,,,,,,,,,,,,,,,
Support,,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,REALWIRED,,,,,,,,,,,,,,,,,
Readiness Assessment,,,,,,,,,JOINT,,,,,,,,,,,,,,,,,
