Steps,Phase,Resources Link(s),Owner of Work ,Deadline ,Audit Completed,Marketing Completed,What's Needed ,Location (URL) Customer Facing ,Location (URL) Video (if applicable) Customer Facing,Internal documentation URL ,Internal Video (if applicable),Internal Training Needed,Notes,,COUNTA of Steps,Deadline ,,,,,
Request Record Configurations Entered,Basic Configurations,Not sure if there is documentation on studio and advanced configurations ,Zach,10/20,In process,N/A,Internal action workbook that requires owner to add all fields and options ,N/A,N/A,Lunch and learn doc & video,,,,,Owner of Work ,10/20,11/7,11/14,11/21,11/28,Grand Total
Welcome / Getting Started Email,Welcome / Getting Started,Templated email in sharepoint,Leigh,11/7,Completed,N/A - email only,"Template welcome email with Logo and URL request, include dates and time for welcome call ",Revised sample email YouConnect Getting Started.docx,N/A,NA,NA,N/A,,,Leigh,,7,2,6,2,17
Kick off call Invite ,Welcome / Getting Started,,Leigh,11/7,Completed,N/A- invite agenda,Agenda for invitiation to send on Welcome call. What is covered. ,Kickoff Call Invite Agenda.docx,N/A,NA,NA,N/A,Zach Complete,,Missie,,6,1,1,1,9
Logo Creation ,Welcome / Getting Started,KB on logo creation ,Zach,11/7,Completed,N/A,Manual on how to create a logo ,N/A,N/A,https://dohringgroup.sharepoint.com/:w:/s/DG.2/EXBRdgPVPVRJgrjn89tHYjwBfQt-MBWO0FlFdPiVDz3gwQ?e=bpNCYP,,Training to create a new logo,,,Sunda,,,,,2,2
Setting up Site,Welcome / Getting Started,One Note for easy access- Will want to document in KB,Leigh,11/7,Completed,N/A,Template internal email sent to Tom (IT) - Add additional set up steps for CS Team,N/A,N/A,https://www.google.com/url?q=https://dohringgroup.sharepoint.com/:w:/s/DG.2/ERCvLfJOGMZBqEVRifDc1bwBMvkku7mlGy8xX89L-Q9_qA?e%3DBvDVdX&sa=D&source=editors&ust=1762382769552000&usg=AOvVaw3b7nW2MBSFQsFF7yQVMjtv,,,May modify the document with notes on how I want a Kick off call to look like. Hoping to add in notes on Agenda Management - need to items added to contract regarding 60 days onboard,,Trey,,,2,1,1,4
Q&A Call Invitations,Welcome / Getting Started,No,Missie,11/7,Ask Leigh to review,N/A,Tempate of agenda for the configuration calls ,N/A,N/A,Agenda for Q & A calls.docx,,,This includes the agenda for all 3 Q & A calls during onboarding. Unsure if maybe this should just be an email that gets sent to client letting them know we will be having these calls and invites will be coming? ,,Zach,1,2,2,3,4,12
Request Record Configurations,Basic Configurations,Workbook,Zach,11/7,In process,,Customer facing workbook on what is needed for Request Record,Request Record - Default Fields.xlsx,?,N/A,N/A,Training and Confirmation of understanding for the topic,,,Zach/ Missie (see comment),,,,,1,1
Q&A call- Review Basic configurations ,Basic Configurations,,Missie,11/7,Completed,N/A,Tempate of agenda for the configuration calls ,N/A,N/A,Agenda for Call 1 Review basic configs.docx,,,,,Grand Total,1,15,7,11,11,45
Q&A call- Review Vendor Letters and Review Form Draft,Documents,,Missie,11/7,Completed,N/A,Tempate of agenda for the configuration calls ,N/A,N/A,Agenda for Call 2 Review Initial Draft of Vendor Letters & Rev Forms.docx,N/A,,,,,,,,,,
JM Training Schedule,Training ,,Leigh,11/7,Completed,N/A,Tempate of agenda for the training calls ,N/A,N/A,https://dohringgroup.sharepoint.com/:w:/s/DG.2/ERUxg13OGF9GrjmxHy1VUdUBkrEIlsNAh60ZsWlWH7eCUg?e=1qboYI,N/A,,,,,,,,,,
